,Country
USA,2229
AUSTRALIA,1338
SOUTH AFRICA,579
PAPUA NEW GUINEA,134
NEW ZEALAND,128
BRAZIL,112
BAHAMAS,109
MEXICO,89
ITALY,71
FIJI,62
PHILIPPINES,61
REUNION,60
NEW CALEDONIA,53
CUBA,46
MOZAMBIQUE,45
SPAIN,44
INDIA,40
EGYPT,38
CROATIA,34
JAPAN,34
PANAMA,32
SOLOMON ISLANDS,30
IRAN,29
JAMAICA,27
FRENCH POLYNESIA,25
GREECE,25
HONG KONG,24
INDONESIA,23
ENGLAND,23
PACIFIC OCEAN,17
ATLANTIC OCEAN,17
COSTA RICA,17
BERMUDA,16
VIETNAM,15
TONGA,15
SRI LANKA,14
VANUATU,14
MARSHALL ISLANDS,13
FRANCE,13
CANADA,12
SOUTH ATLANTIC OCEAN,12
TURKEY,12
IRAQ,12
VENEZUELA,11
UNITED KINGDOM,11
SENEGAL,11
KENYA,10
NEW GUINEA,10
MAURITIUS,10
ECUADOR,9
TAIWAN,9
COLUMBIA,9
CARIBBEAN SEA,8
TANZANIA,8
SCOTLAND,8
MADAGASCAR,8
CHILE,8
SOUTH KOREA,8
THAILAND,8
SAMOA,8
SIERRA LEONE,8
SEYCHELLES,7
NORTH PACIFIC OCEAN,7
ISRAEL,7
CHINA,7
DOMINICAN REPUBLIC,7
YEMEN ,7
INDIAN OCEAN,7
LIBYA,6
BARBADOS,6
OKINAWA,6
NICARAGUA,6
NEW BRITAIN,6
SOMALIA,6
KIRIBATI,6
SINGAPORE,6
PALAU,5
MALAYSIA,5
MALTA,5
AZORES,5
TURKS & CAICOS,5
MID ATLANTIC OCEAN,5
SAUDI ARABIA,5
BURMA,4
NORTH ATLANTIC OCEAN,4
PERSIAN GULF,4
EL SALVADOR,4
URUGUAY,4
SUDAN,4
GRENADA,4
HONDURAS,4
GUAM,4
NIGERIA,4
RUSSIA,4
MONTENEGRO,3
CEYLON,3
TRINIDAD & TOBAGO,3
MARTINIQUE,3
 TONGA,3
BELIZE,3
GUINEA,3
AMERICAN SAMOA,3
PORTUGAL,3
Fiji,3
TUNISIA,3
LEBANON,3
GUYANA,3
MICRONESIA,3
HAITI,3
LIBERIA,3
CAPE VERDE,3
YEMEN,2
UNITED ARAB EMIRATES,2
WEST INDIES,2
EGYPT ,2
ICELAND,2
CRETE,2
SOUTHWEST PACIFIC OCEAN,2
SOUTH PACIFIC OCEAN,2
JOHNSTON ISLAND,2
NORWAY,2
CAYMAN ISLANDS,2
CENTRAL PACIFIC,2
UNITED ARAB EMIRATES (UAE),2
"ST HELENA, British overseas territory",2
PACIFIC OCEAN ,2
NAMIBIA,2
TOBAGO,2
ANTIGUA,2
MEDITERRANEAN SEA,2
SAN DOMINGO,1
RED SEA?,1
REUNION ISLAND,1
CYPRUS,1
IRELAND,1
KUWAIT,1
ASIA?,1
MONACO,1
FALKLAND ISLANDS,1
INDIAN OCEAN?,1
PARAGUAY,1
EQUATORIAL GUINEA / CAMEROON,1
ALGERIA,1
Coast of AFRICA,1
TASMAN SEA,1
GHANA,1
AFRICA,1
PERU,1
GREENLAND,1
SWEDEN,1
COOK ISLANDS,1
ROATAN,1
BRITISH NEW GUINEA,1
ANDAMAN ISLANDS,1
Between PORTUGAL & INDIA,1
TUVALU,1
DJIBOUTI,1
SYRIA,1
GEORGIA,1
BAHREIN,1
OCEAN,1
KOREA,1
ITALY / CROATIA,1
COMOROS,1
CURACAO,1
SLOVENIA,1
BRITISH ISLES,1
WESTERN SAMOA,1
BANGLADESH,1
SOUTH CHINA SEA,1
ANGOLA,1
NORTHERN ARABIAN SEA,1
EGYPT / ISRAEL,1
MEXICO ,1
Seychelles,1
GRAND CAYMAN,1
ST. MAARTIN,1
Sierra Leone,1
GULF OF ADEN,1
BRITISH VIRGIN ISLANDS,1
NEVIS,1
MALDIVES,1
PALESTINIAN TERRITORIES,1
DIEGO GARCIA,1
ST. MARTIN,1
PUERTO RICO,1
ARUBA,1
RED SEA,1
FEDERATED STATES OF MICRONESIA,1
ADMIRALTY ISLANDS,1
ARGENTINA,1
MID-PACIFC OCEAN,1
BAY OF BENGAL,1
SOLOMON ISLANDS / VANUATU,1
 PHILIPPINES,1
JAVA,1
IRAN / IRAQ,1
NORTHERN MARIANA ISLANDS,1
NETHERLANDS ANTILLES,1
GUATEMALA,1
SUDAN?,1
BRITISH WEST INDIES,1
THE BALKANS,1
NORTH ATLANTIC OCEAN ,1
MAYOTTE,1
GABON,1
ANDAMAN / NICOBAR ISLANDAS,1
MALDIVE ISLANDS,1
NICARAGUA ,1
NORTH SEA,1
RED SEA / INDIAN OCEAN,1
CEYLON (SRI LANKA),1
